sex,len,dia,hei,w_wei,s_wei,v_wei,sh_wei,rings
M,0.59,0.46,0.145,0.929,0.38,0.24,0.255,10
M,0.62,0.525,0.155,1.085,0.45399999999999996,0.1965,0.35,10
F,0.62,0.48,0.175,1.0405,0.46399999999999997,0.2225,0.3,9
I,0.54,0.425,0.14,0.742,0.32,0.1395,0.25,9
F,0.46,0.33,0.15,0.5325,0.2085,0.1805,0.125,10
M,0.65,0.545,0.16,1.2425,0.48700000000000004,0.29600000000000004,0.48,15
M,0.555,0.43,0.165,0.7575,0.2735,0.1635,0.275,13
F,0.725,0.56,0.21,2.141,0.65,0.39799999999999996,1.005,18
F,0.49,0.38,0.13,0.539,0.22899999999999998,0.1355,0.165,12
I,0.53,0.395,0.13,0.575,0.247,0.115,0.183,9
F,0.66,0.5,0.175,1.3275,0.556,0.2805,0.4085,9
I,0.33,0.24,0.075,0.163,0.0745,0.033,0.048,6
F,0.645,0.48,0.19,1.371,0.6925,0.2905,0.35,12
I,0.48,0.37,0.125,0.474,0.179,0.1035,0.175,9
M,0.67,0.525,0.17,1.4005,0.715,0.3025,0.387,9
I,0.45,0.345,0.135,0.44299999999999995,0.1975,0.0875,0.1175,14
I,0.48,0.38,0.125,0.6245,0.3395,0.1085,0.1665,8
F,0.655,0.515,0.2,1.494,0.7255,0.309,0.405,12
M,0.585,0.46,0.165,1.1135,0.5825,0.2345,0.27399999999999997,10
F,0.59,0.465,0.15,1.151,0.613,0.239,0.2515,9
F,0.615,0.475,0.17,1.055,0.5429999999999999,0.24600000000000002,0.2345,9
M,0.61,0.5,0.24,1.642,0.532,0.3345,0.69,18
F,0.505,0.39,0.12,0.5725,0.2555,0.1325,0.146,8
M,0.455,0.345,0.15,0.5795,0.1685,0.125,0.215,13
M,0.6,0.48,0.175,1.229,0.4125,0.2735,0.415,13
I,0.375,0.28,0.085,0.3155,0.187,0.046,0.067,7
F,0.655,0.455,0.17,1.2895,0.5870000000000001,0.3165,0.3415,11
M,0.59,0.465,0.14,1.046,0.4695,0.263,0.263,7
I,0.43,0.34,0.1,0.3405,0.1395,0.0665,0.12,8
